CROPS,SOIL_PH,TEMP,RELATIVE_HUMIDITY,N,P,K
rice,7.6,26.9,73.8,82.4,40.7,42.2
rice,6.2,35.8,60.9,90.5,51.3,46.2
rice,6.7,34.9,67.5,86.2,50.7,44.4
rice,6.1,28.3,73.6,91.3,51.3,44.5
rice,8,26.3,60.3,81.3,48.6,51
rice,7.9,28.3,60.9,97.6,40.1,56.3
rice,7.3,25.7,70.1,84.2,54.4,43
rice,6.4,34.4,73.4,96,40.2,52.7
rice,5.6,25.1,76.7,90.7,48.5,40.4
rice,5.9,26.4,73.2,87.6,59.2,42.5
rice,7.5,33.6,62.8,88.8,52.5,56.6
rice,7.1,35.3,71.9,86.9,54.1,59.4
rice,6.3,21.5,61.3,83.4,59.8,47.6
rice,6.4,32.8,60.7,89.9,44.3,47.1
rice,6.9,22.8,78.6,86.3,53.3,57.8
rice,8,27.6,68,98.7,45.9,50
rice,7,27.9,63.4,91.8,53.3,53.9
rice,5,34.9,79.6,84.3,54.6,50.8
rice,5.6,28.5,64.3,87.9,47.6,53.8
rice,6.1,37.5,75.7,84.3,59.4,53.5
rice,5.8,23.5,65.8,86.7,59.4,44.7
rice,7.7,28.6,61.9,99.5,42.3,40.6
rice,7.1,34.6,72.5,94.5,49.6,59.4
rice,6,34.9,79.9,85.2,54.9,53.1
rice,5.9,26.2,66.3,88.5,42.7,57.3
rice,7.5,31.6,67.2,97.2,48.5,49.1
rice,6.1,20.2,69.3,99.8,54.4,44.8
rice,6.7,32.2,75.5,92.9,51.9,53.7
rice,5.8,37.2,75,95.9,57.5,54.5
rice,6.8,31.6,66.3,93.6,45,55.1
rice,7.6,20.9,67.1,80.2,40.4,56.5
rice,6.5,26.9,63.8,99.6,46.9,44
rice,6.3,30,62.1,96.8,43.2,58.9
rice,5.4,30.3,69.9,89,53.6,44
rice,7.7,35.5,60.8,91.3,53.6,56.5
rice,5,30.8,63.4,87.7,42.4,58.2
rice,5.5,26.7,75.9,99.6,46.1,53.9
rice,5.1,36.6,67.3,80.8,46.8,59.9
rice,6,39.2,69.2,82.2,44.4,56.6
rice,6.8,22.7,67.2,90.7,41.5,59.6
rice,7.8,34.1,78.9,99.3,58.1,50.5
rice,5.2,38.3,60.1,97.6,47.1,58.3
rice,5.6,34.9,67.5,88.1,45.3,52.9
rice,7.8,33.7,75.7,82.9,41.3,40.1
rice,7.9,31.7,76.7,89.1,59.1,46.7
rice,7.6,29.1,67.1,86.2,41.4,55.4
rice,7.6,35.4,75.3,96.6,47.4,57.5
rice,5,28.2,75.5,90,43.5,59.9
rice,5.7,31.1,75.1,81.1,54.5,54.5
rice,6.6,29.1,65.5,90.8,55.7,41.9
rice,5.4,25.1,70.3,85.3,53.5,42
rice,7,39.5,75.7,90.3,53.6,57.2
rice,6.7,36.7,61.2,93.2,57.2,47.5
rice,6,20.2,72.8,81.9,53.7,57.8
rice,7.6,35.7,60.2,91.1,50.9,44.2
rice,6,29.6,68.9,96.2,41.1,44.8
